id,name,r,g,b
442,LT,255,144,255
443,LTN,255,186,134
444,LZ,242,72,59
445,MA,162,177,216
446,MA3,255,144,255
447,MARN,255,179,217
448,MB,255,100,255
449,MBO,255,76,62
450,MBmot,255,144,255
451,MBsen,255,122,255
452,MBsta,255,144,255
453,MD,255,144,159
454,MDRN,255,179,217
455,MDRNd,255,179,217
456,MDRNv,255,179,217
457,MDc,255,144,159
458,MDl,255,144,159
459,MDm,255,144,159
460,ME,242,72,59
461,MEA,128,192,226
462,MEAad,128,192,226
463,MEAav,128,192,226
464,MEApd,128,192,226
465,MEApd-a,128,192,226
466,MEApd-b,128,192,226
467,MEApd-c,128,192,226
468,MEApv,128,192,226
469,MED,255,144,159
470,MEPO,255,85,71
471,MEV,255,122,255
472,MEZ,255,76,62
473,MG,255,128,132
474,MGd,255,128,132
475,MGm,255,128,132
476,MGv,255,128,132
477,MH,255,144,159
478,MM,255,76,62
479,MMd,255,76,62
480,MMl,255,76,62
481,MMm,255,76,62
482,MMme,255,76,62
483,MMp,255,76,62
484,MO,31,157,90
485,MO1,31,157,90
486,MO2/3,31,157,90
487,MO5,31,157,90
488,MO6a,31,157,90
489,MO6b,31,157,90
490,MOB,154,210,189
491,MOBgl,130,199,174
492,MOBgr,130,199,174
493,MOBipl,154,210,189
494,MOBmi,130,199,174
495,MOBopl,154,210,189
496,MOp,31,157,90
497,MOp1,31,157,90
498,MOp2/3,31,157,90
499,MOp5,31,157,90
500,MOp6a,31,157,90
501,MOp6b,31,157,90
502,MOs,31,157,90
503,MOs1,31,157,90
504,MOs2/3,31,157,90
505,MOs5,31,157,90
506,MOs6a,31,157,90
507,MOs6b,31,157,90
508,MPN,255,76,62
509,MPNc,255,76,62
510,MPNl,255,76,62
511,MPNm,255,76,62
512,MPO,255,85,71
513,MPT,255,144,255
514,MRN,255,144,255
515,MRNm,255,144,255
516,MRNmg,255,144,255
517,MRNp,255,144,255
518,MS,150,167,211
519,MSC,150,167,211
520,MT,255,144,255
521,MTN,255,144,159
522,MV,255,179,217
523,MY,255,155,205
524,MY-mot,255,179,217
525,MY-sat,255,198,226
526,MY-sen,255,165,210
527,NB,255,122,255
528,NC,255,93,80
529,ND,255,144,255
530,NDB,150,167,211
531,NI,255,195,149
532,NIS,255,179,217
533,NLL,255,174,111
534,NLLd,255,174,111
535,NLLh,255,174,111
536,NLLv,255,174,111
537,NLOT,149,228,200
538,NLOT1,149,228,200
539,NLOT1-3,149,228,200
540,NLOT2,149,228,200
541,NLOT3,149,228,200
542,NOD,255,252,145
543,NODgr,236,231,84
544,NODmo,255,252,145
545,NODpu,255,252,145
546,NOT,255,144,255
547,NPC,255,144,255
548,NR,255,179,217
549,NTB,255,165,210
550,NTS,255,165,210
551,NTSce,255,165,210
552,NTSco,255,165,210
553,NTSge,255,165,210
554,NTSl,255,165,210
555,NTSm,255,165,210
556,OLF,154,210,189
557,OP,255,144,255
558,ORB,36,138,94
559,ORB1,36,138,94
560,ORB2/3,36,138,94
561,ORB5,36,138,94
562,ORB6a,36,138,94
563,ORB6b,36,138,94
564,ORBl,36,138,94
565,ORBl1,36,138,94
566,ORBl2/3,36,138,94
567,ORBl5,36,138,94
568,ORBl6a,36,138,94
569,ORBl6b,36,138,94
570,ORBm,36,138,94
571,ORBm1,36,138,94
572,ORBm2,36,138,94
573,ORBm2/3,36,138,94
574,ORBm5,36,138,94
575,ORBm6a,36,138,94
576,ORBm6b,36,138,94
577,ORBv,36,138,94
578,ORBvl,36,138,94
579,ORBvl1,36,138,94
580,ORBvl2/3,36,138,94
581,ORBvl5,36,138,94
582,ORBvl6a,36,138,94
583,ORBvl6b,36,138,94
584,OT,128,205,248
